Site,site_Treatment, LON (NAD83 MTM (Modified Transverse Mercator) zone 6),LAT (NAD83 MTM (Modified Transverse Mercator) zone 6),LON E,LAT N
2009,10,18,0,0,-8
2009,10,19,0.4,0.2,-4.2
2009,10,20,3.2,0.6,-5.8
2009,10,21,0.3,5.4,-0.8
2009,10,22,3.2,16.8,-3.4
2009,10,23,0.2,15.9,-5.6
2009,10,24,17.4,9.4,-7.9
2009,10,25,0,0,-1.1
2009,10,26,0,0.5,-2.8
2009,10,27,0.5,2.2,-7.2
2009,10,28,0,0.2,-8.3
2009,10,29,0,0.1,-8.6
2009,10,30,2.3,4.7,-7.7
2009,10,31,7.6,6.5,0.8
2009,11,1,0,0,1.6
2009,11,2,0,0.4,-4
2009,11,3,0.8,1.2,-3.7
2009,11,4,1.2,0.1,-2.9
2009,11,5,0,1,-9.4
2009,11,6,0,0,-9.4
2009,11,7,0.4,0.2,-7.8
2009,11,8,0,0,-5.4
2009,11,9,0,0.2,0.2
2009,11,10,0.8,0,0.9
2009,11,11,0,0,-2.3
2009,11,12,0,0,-4.2
2009,11,13,0,0,-5.3
2009,11,14,0.3,37.1,-0.6
2009,11,15,2,0.6,4.1
2009,11,16,1.1,0,0
2009,11,17,0,0,-4.4
2009,11,18,0.3,0,-7.9
2009,11,19,0,7.9,-3.4
2009,11,20,28.5,15.9,-5.6
2009,11,21,0.5,0,-0.8
2009,11,22,0,0,-6.2
2009,11,23,0,0,-8.5
2009,11,24,0,0.1,-7.7
2009,11,25,0,6,-8.3
2009,11,26,0,3.8,-1
2009,11,27,17,75.9,-1.7
2009,11,28,5.9,4.1,-1.4
2009,11,29,0.1,4.5,-3.3
2009,11,30,1.1,1.6,-8.6
2009,12,1,2,0.2,-8.3
2009,12,2,0,20.9,-9.4
2009,12,3,8.3,26.4,-9.9
2009,12,4,0,0.3,-5.1
2009,12,5,0,0.1,-6.4
2009,12,6,2.9,1.5,-10.4
2009,12,7,0,2.7,-10.7
2009,12,8,0.5,0.6,-12
2009,12,9,9.7,86.7,-11.2
2009,12,10,5.3,9.5,-9.2
2009,12,11,3.5,2.1,-13.8
2009,12,12,0,0.1,-15.3
2009,12,13,0,5.2,-17.1
2009,12,14,1.9,4.4,-10.9
2009,12,15,5.3,7,-11.2
2009,12,16,4.4,2.2,-15.3
2009,12,17,2.5,0.1,-18.2
2009,12,18,0.6,1.9,-17.3
